0.00.154.698 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.457.493 I srv    load_model: loading model '/mnt/models/Laguna-S-2.1-UD-IQ4_NL-00001-of-00003.gguf'
0.05.705.123 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.05.705.127 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
1.10.523.187 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
1.10.587.196 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
1.10.587.338 I srv  llama_server: model loaded
1.10.587.351 I srv  llama_server: listening on http://0.0.0.0:8103
1.11.536.798 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
15.59.707.684 I slot print_timing: id  0 | task 4524 | prompt eval time =    5391.93 ms /   589 tokens (    9.15 ms per token,   109.24 tokens per second)
15.59.707.692 I slot print_timing: id  0 | task 4524 |        eval time =    5683.90 ms /    67 tokens (   84.83 ms per token,    11.79 tokens per second)
15.59.707.695 I slot print_timing: id  0 | task 4524 |       total time =   11075.83 ms /   656 tokens
15.59.707.697 I slot print_timing: id  0 | task 4524 |    graphs reused =       4472
15.59.715.635 I slot      release: id  0 | task 4524 | stop processing: n_tokens = 86195, truncated = 0
16.01.284.660 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.994 (> 0.100 thold), f_keep = 1.000
16.01.286.088 I slot launch_slot_: id  0 | task 4594 | processing task, is_child = 0
16.05.342.481 I slot print_timing: id  0 | task 4594 | prompt processing, n_tokens =    518, progress = 1.00, t =   4.06 s / 127.70 tokens per second
16.14.023.093 I slot print_timing: id  0 | task 4594 | n_decoded =    100, tg =  11.82 t/s, tg_3s =  11.82 t/s
16.17.035.730 I slot print_timing: id  0 | task 4594 | n_decoded =    135, tg =  11.77 t/s, tg_3s =  11.62 t/s
16.20.049.996 I slot print_timing: id  0 | task 4594 | n_decoded =    170, tg =  11.74 t/s, tg_3s =  11.61 t/s
16.23.061.200 I slot print_timing: id  0 | task 4594 | n_decoded =    205, tg =  11.72 t/s, tg_3s =  11.62 t/s
16.26.075.246 I slot print_timing: id  0 | task 4594 | n_decoded =    240, tg =  11.70 t/s, tg_3s =  11.61 t/s
16.29.087.182 I slot print_timing: id  0 | task 4594 | n_decoded =    275, tg =  11.69 t/s, tg_3s =  11.62 t/s
16.32.098.672 I slot print_timing: id  0 | task 4594 | n_decoded =    310, tg =  11.68 t/s, tg_3s =  11.62 t/s
16.35.152.361 I slot print_timing: id  0 | task 4594 | n_decoded =    345, tg =  11.66 t/s, tg_3s =  11.46 t/s
16.38.251.947 I slot print_timing: id  0 | task 4594 | n_decoded =    375, tg =  11.47 t/s, tg_3s =   9.68 t/s
16.41.303.688 I slot print_timing: id  0 | task 4594 | n_decoded =    403, tg =  11.28 t/s, tg_3s =   9.18 t/s
16.44.355.091 I slot print_timing: id  0 | task 4594 | n_decoded =    431, tg =  11.11 t/s, tg_3s =   9.18 t/s
16.47.412.695 I slot print_timing: id  0 | task 4594 | n_decoded =    459, tg =  10.97 t/s, tg_3s =   9.16 t/s
16.50.453.284 I slot print_timing: id  0 | task 4594 | n_decoded =    487, tg =  10.85 t/s, tg_3s =   9.21 t/s
16.53.469.335 I slot print_timing: id  0 | task 4594 | n_decoded =    515, tg =  10.75 t/s, tg_3s =   9.28 t/s
16.56.480.026 I slot print_timing: id  0 | task 4594 | n_decoded =    543, tg =  10.67 t/s, tg_3s =   9.30 t/s
16.59.497.738 I slot print_timing: id  0 | task 4594 | n_decoded =    571, tg =  10.59 t/s, tg_3s =   9.28 t/s
17.02.498.355 I slot print_timing: id  0 | task 4594 | n_decoded =    599, tg =  10.52 t/s, tg_3s =   9.33 t/s
17.05.572.646 I slot print_timing: id  0 | task 4594 | n_decoded =    628, tg =  10.47 t/s, tg_3s =   9.43 t/s
17.08.633.645 I slot print_timing: id  0 | task 4594 | n_decoded =    656, tg =  10.40 t/s, tg_3s =   9.15 t/s
17.11.708.364 I slot print_timing: id  0 | task 4594 | n_decoded =    685, tg =  10.36 t/s, tg_3s =   9.43 t/s
17.14.769.433 I slot print_timing: id  0 | task 4594 | n_decoded =    714, tg =  10.32 t/s, tg_3s =   9.47 t/s
17.17.864.931 I slot print_timing: id  0 | task 4594 | n_decoded =    743, tg =  10.28 t/s, tg_3s =   9.37 t/s
17.20.971.266 I slot print_timing: id  0 | task 4594 | n_decoded =    772, tg =  10.24 t/s, tg_3s =   9.34 t/s
17.22.910.833 I slot print_timing: id  0 | task 4594 | prompt eval time =    4279.92 ms /   522 tokens (    8.20 ms per token,   121.96 tokens per second)
17.22.910.844 I slot print_timing: id  0 | task 4594 |        eval time =   77344.78 ms /   790 tokens (   97.90 ms per token,    10.21 tokens per second)
17.22.910.846 I slot print_timing: id  0 | task 4594 |       total time =   81624.70 ms /  1312 tokens
17.22.910.847 I slot print_timing: id  0 | task 4594 |    graphs reused =       5257
17.22.919.136 I slot      release: id  0 | task 4594 | stop processing: n_tokens = 87506, truncated = 0
17.25.500.099 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
17.25.508.773 I slot launch_slot_: id  0 | task 5387 | processing task, is_child = 0
17.34.736.355 I slot print_timing: id  0 | task 5387 | n_decoded =    100, tg =  11.73 t/s, tg_3s =  11.73 t/s
17.37.746.332 I slot print_timing: id  0 | task 5387 | n_decoded =    130, tg =  11.27 t/s, tg_3s =   9.97 t/s
17.40.845.229 I slot print_timing: id  0 | task 5387 | n_decoded =    159, tg =  10.87 t/s, tg_3s =   9.36 t/s
17.43.922.322 I slot print_timing: id  0 | task 5387 | n_decoded =    187, tg =  10.56 t/s, tg_3s =   9.10 t/s
17.46.930.563 I slot print_timing: id  0 | task 5387 | n_decoded =    215, tg =  10.38 t/s, tg_3s =   9.31 t/s
17.50.024.431 I slot print_timing: id  0 | task 5387 | n_decoded =    244, tg =  10.25 t/s, tg_3s =   9.37 t/s
17.53.116.244 I slot print_timing: id  0 | task 5387 | n_decoded =    273, tg =  10.15 t/s, tg_3s =   9.38 t/s
17.56.132.540 I slot print_timing: id  0 | task 5387 | n_decoded =    301, tg =  10.06 t/s, tg_3s =   9.28 t/s
17.59.151.822 I slot print_timing: id  0 | task 5387 | n_decoded =    329, tg =   9.99 t/s, tg_3s =   9.27 t/s
18.02.251.093 I slot print_timing: id  0 | task 5387 | n_decoded =    358, tg =   9.93 t/s, tg_3s =   9.36 t/s
18.05.252.567 I slot print_timing: id  0 | task 5387 | n_decoded =    386, tg =   9.89 t/s, tg_3s =   9.33 t/s
18.08.265.832 I slot print_timing: id  0 | task 5387 | n_decoded =    414, tg =   9.84 t/s, tg_3s =   9.29 t/s
18.11.327.240 I slot print_timing: id  0 | task 5387 | n_decoded =    443, tg =   9.82 t/s, tg_3s =   9.47 t/s
18.14.384.242 I slot print_timing: id  0 | task 5387 | n_decoded =    472, tg =   9.80 t/s, tg_3s =   9.49 t/s
18.17.441.186 I slot print_timing: id  0 | task 5387 | n_decoded =    506, tg =   9.88 t/s, tg_3s =  11.12 t/s
18.20.466.242 I slot print_timing: id  0 | task 5387 | n_decoded =    541, tg =   9.97 t/s, tg_3s =  11.57 t/s
18.20.911.278 I slot print_timing: id  0 | task 5387 | prompt eval time =     704.14 ms /    16 tokens (   44.01 ms per token,    22.72 tokens per second)
18.20.911.282 I slot print_timing: id  0 | task 5387 |        eval time =   54698.30 ms /   546 tokens (  100.18 ms per token,     9.98 tokens per second)
18.20.911.284 I slot print_timing: id  0 | task 5387 |       total time =   55402.44 ms /   562 tokens
18.20.911.285 I slot print_timing: id  0 | task 5387 |    graphs reused =       5798
18.20.914.177 I slot      release: id  0 | task 5387 | stop processing: n_tokens = 88067, truncated = 0
18.22.557.005 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
18.22.558.544 I slot launch_slot_: id  0 | task 5935 | processing task, is_child = 0
18.31.871.635 I slot print_timing: id  0 | task 5935 | n_decoded =    100, tg =  11.63 t/s, tg_3s =  11.63 t/s
18.34.910.819 I slot print_timing: id  0 | task 5935 | n_decoded =    135, tg =  11.60 t/s, tg_3s =  11.52 t/s
18.37.952.737 I slot print_timing: id  0 | task 5935 | n_decoded =    170, tg =  11.58 t/s, tg_3s =  11.51 t/s
18.40.997.400 I slot print_timing: id  0 | task 5935 | n_decoded =    205, tg =  11.57 t/s, tg_3s =  11.50 t/s
18.44.042.394 I slot print_timing: id  0 | task 5935 | n_decoded =    240, tg =  11.56 t/s, tg_3s =  11.49 t/s
18.47.096.195 I slot print_timing: id  0 | task 5935 | n_decoded =    275, tg =  11.54 t/s, tg_3s =  11.46 t/s
18.50.152.163 I slot print_timing: id  0 | task 5935 | n_decoded =    310, tg =  11.53 t/s, tg_3s =  11.45 t/s
18.53.211.346 I slot print_timing: id  0 | task 5935 | n_decoded =    343, tg =  11.46 t/s, tg_3s =  10.79 t/s
18.56.266.101 I slot print_timing: id  0 | task 5935 | n_decoded =    378, tg =  11.46 t/s, tg_3s =  11.46 t/s
18.56.878.593 I slot print_timing: id  0 | task 5935 | prompt eval time =     714.66 ms /    16 tokens (   44.67 ms per token,    22.39 tokens per second)
18.56.878.598 I slot print_timing: id  0 | task 5935 |        eval time =   33605.35 ms /   385 tokens (   87.29 ms per token,    11.46 tokens per second)
18.56.878.599 I slot print_timing: id  0 | task 5935 |       total time =   34320.01 ms /   401 tokens
18.56.878.600 I slot print_timing: id  0 | task 5935 |    graphs reused =       6180
18.56.881.549 I slot      release: id  0 | task 5935 | stop processing: n_tokens = 88467, truncated = 0
18.58.512.985 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
18.58.514.552 I slot launch_slot_: id  0 | task 6322 | processing task, is_child = 0
19.06.559.966 I slot print_timing: id  0 | task 6322 | prompt eval time =     715.11 ms /    16 tokens (   44.69 ms per token,    22.37 tokens per second)
19.06.559.970 I slot print_timing: id  0 | task 6322 |        eval time =    7330.27 ms /    85 tokens (   86.24 ms per token,    11.60 tokens per second)
19.06.559.972 I slot print_timing: id  0 | task 6322 |       total time =    8045.38 ms /   101 tokens
19.06.559.973 I slot print_timing: id  0 | task 6322 |    graphs reused =       6263
19.06.562.897 I slot      release: id  0 | task 6322 | stop processing: n_tokens = 88567, truncated = 0
19.07.921.541 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.993 (> 0.100 thold), f_keep = 1.000
19.07.922.988 I slot launch_slot_: id  0 | task 6409 | processing task, is_child = 0
19.13.727.267 I slot print_timing: id  0 | task 6409 | prompt processing, n_tokens =    659, progress = 1.00, t =   5.80 s / 113.54 tokens per second
19.23.037.459 I slot print_timing: id  0 | task 6409 | n_decoded =    100, tg =  11.03 t/s, tg_3s =  11.03 t/s
19.26.086.449 I slot print_timing: id  0 | task 6409 | n_decoded =    133, tg =  10.98 t/s, tg_3s =  10.82 t/s
19.29.122.330 I slot print_timing: id  0 | task 6409 | n_decoded =    166, tg =  10.96 t/s, tg_3s =  10.87 t/s
19.32.154.639 I slot print_timing: id  0 | task 6409 | n_decoded =    199, tg =  10.95 t/s, tg_3s =  10.88 t/s
19.35.177.342 I slot print_timing: id  0 | task 6409 | n_decoded =    232, tg =  10.94 t/s, tg_3s =  10.92 t/s
19.38.203.797 I slot print_timing: id  0 | task 6409 | n_decoded =    265, tg =  10.94 t/s, tg_3s =  10.90 t/s
19.41.229.014 I slot print_timing: id  0 | task 6409 | n_decoded =    298, tg =  10.93 t/s, tg_3s =  10.91 t/s
19.44.246.485 I slot print_timing: id  0 | task 6409 | n_decoded =    331, tg =  10.93 t/s, tg_3s =  10.94 t/s
19.45.980.747 I slot print_timing: id  0 | task 6409 | prompt eval time =    6050.79 ms /   663 tokens (    9.13 ms per token,   109.57 tokens per second)
19.45.980.753 I slot print_timing: id  0 | task 6409 |        eval time =   32006.93 ms /   350 tokens (   91.45 ms per token,    10.94 tokens per second)
19.45.980.754 I slot print_timing: id  0 | task 6409 |       total time =   38057.72 ms /  1013 tokens
19.45.980.757 I slot print_timing: id  0 | task 6409 |    graphs reused =       6610
19.45.989.348 I slot      release: id  0 | task 6409 | stop processing: n_tokens = 89579, truncated = 0
19.48.346.037 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
19.48.354.071 I slot launch_slot_: id  0 | task 6762 | processing task, is_child = 0
19.58.071.334 I slot print_timing: id  0 | task 6762 | prompt eval time =     948.09 ms /    16 tokens (   59.26 ms per token,    16.88 tokens per second)
19.58.071.340 I slot print_timing: id  0 | task 6762 |        eval time =    8769.11 ms /    96 tokens (   91.34 ms per token,    10.95 tokens per second)
19.58.071.341 I slot print_timing: id  0 | task 6762 |       total time =    9717.20 ms /   112 tokens
19.58.071.342 I slot print_timing: id  0 | task 6762 |    graphs reused =       6703
19.58.079.839 I slot      release: id  0 | task 6762 | stop processing: n_tokens = 89690, truncated = 0
20.00.214.055 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.986 (> 0.100 thold), f_keep = 1.000
20.00.221.622 I slot launch_slot_: id  0 | task 6860 | processing task, is_child = 0
20.06.704.321 I slot print_timing: id  0 | task 6860 | prompt processing, n_tokens =    773, progress = 0.99, t =   6.48 s / 119.24 tokens per second
20.10.606.262 I slot print_timing: id  0 | task 6860 | prompt processing, n_tokens =   1285, progress = 1.00, t =  10.38 s / 123.74 tokens per second
20.18.020.659 I slot print_timing: id  0 | task 6860 | prompt eval time =   10714.18 ms /  1289 tokens (    8.31 ms per token,   120.31 tokens per second)
20.18.020.664 I slot print_timing: id  0 | task 6860 |        eval time =    7084.80 ms /    68 tokens (  104.19 ms per token,     9.60 tokens per second)
20.18.020.666 I slot print_timing: id  0 | task 6860 |       total time =   17798.98 ms /  1357 tokens
20.18.020.667 I slot print_timing: id  0 | task 6860 |    graphs reused =       6769
20.18.029.182 I slot      release: id  0 | task 6860 | stop processing: n_tokens = 91046, truncated = 0
20.20.390.091 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
20.20.397.596 I slot launch_slot_: id  0 | task 6931 | processing task, is_child = 0
20.26.416.711 I slot print_timing: id  0 | task 6931 | prompt processing, n_tokens =    679, progress = 0.99, t =   6.02 s / 112.81 tokens per second
20.30.235.536 I slot print_timing: id  0 | task 6931 | prompt processing, n_tokens =   1191, progress = 1.00, t =   9.84 s / 121.06 tokens per second
20.39.194.504 I slot print_timing: id  0 | task 6931 | n_decoded =    100, tg =  11.47 t/s, tg_3s =  11.47 t/s
20.42.206.913 I slot print_timing: id  0 | task 6931 | n_decoded =    134, tg =  11.42 t/s, tg_3s =  11.29 t/s
20.45.216.138 I slot print_timing: id  0 | task 6931 | n_decoded =    168, tg =  11.40 t/s, tg_3s =  11.30 t/s
20.48.246.371 I slot print_timing: id  0 | task 6931 | n_decoded =    202, tg =  11.37 t/s, tg_3s =  11.22 t/s
20.51.265.857 I slot print_timing: id  0 | task 6931 | n_decoded =    236, tg =  11.35 t/s, tg_3s =  11.26 t/s
20.54.310.210 I slot print_timing: id  0 | task 6931 | n_decoded =    270, tg =  11.33 t/s, tg_3s =  11.17 t/s
20.57.342.949 I slot print_timing: id  0 | task 6931 | n_decoded =    304, tg =  11.32 t/s, tg_3s =  11.21 t/s
21.00.365.375 I slot print_timing: id  0 | task 6931 | n_decoded =    338, tg =  11.31 t/s, tg_3s =  11.25 t/s
21.03.414.914 I slot print_timing: id  0 | task 6931 | n_decoded =    372, tg =  11.29 t/s, tg_3s =  11.15 t/s
21.06.436.558 I slot print_timing: id  0 | task 6931 | n_decoded =    406, tg =  11.29 t/s, tg_3s =  11.25 t/s
21.09.468.191 I slot print_timing: id  0 | task 6931 | n_decoded =    440, tg =  11.28 t/s, tg_3s =  11.22 t/s
21.12.492.759 I slot print_timing: id  0 | task 6931 | n_decoded =    474, tg =  11.28 t/s, tg_3s =  11.24 t/s
21.15.517.204 I slot print_timing: id  0 | task 6931 | n_decoded =    508, tg =  11.28 t/s, tg_3s =  11.24 t/s
21.18.540.510 I slot print_timing: id  0 | task 6931 | n_decoded =    542, tg =  11.28 t/s, tg_3s =  11.25 t/s
21.21.574.152 I slot print_timing: id  0 | task 6931 | n_decoded =    576, tg =  11.27 t/s, tg_3s =  11.21 t/s
21.24.601.812 I slot print_timing: id  0 | task 6931 | n_decoded =    610, tg =  11.27 t/s, tg_3s =  11.23 t/s
21.27.658.218 I slot print_timing: id  0 | task 6931 | n_decoded =    644, tg =  11.26 t/s, tg_3s =  11.12 t/s
21.30.685.577 I slot print_timing: id  0 | task 6931 | n_decoded =    678, tg =  11.26 t/s, tg_3s =  11.23 t/s
21.33.771.622 I slot print_timing: id  0 | task 6931 | n_decoded =    712, tg =  11.25 t/s, tg_3s =  11.02 t/s
21.36.848.756 I slot print_timing: id  0 | task 6931 | n_decoded =    746, tg =  11.24 t/s, tg_3s =  11.05 t/s
21.39.893.042 I slot print_timing: id  0 | task 6931 | n_decoded =    780, tg =  11.24 t/s, tg_3s =  11.17 t/s
21.42.936.203 I slot print_timing: id  0 | task 6931 | n_decoded =    814, tg =  11.23 t/s, tg_3s =  11.17 t/s
21.44.995.347 I slot print_timing: id  0 | task 6931 | prompt eval time =   10078.72 ms /  1195 tokens (    8.43 ms per token,   118.57 tokens per second)
21.44.995.352 I slot print_timing: id  0 | task 6931 |        eval time =   74518.99 ms /   837 tokens (   89.03 ms per token,    11.23 tokens per second)
21.44.995.353 I slot print_timing: id  0 | task 6931 |       total time =   84597.71 ms /  2032 tokens
21.44.995.354 I slot print_timing: id  0 | task 6931 |    graphs reused =       7601
21.44.998.384 I slot      release: id  0 | task 6931 | stop processing: n_tokens = 93077, truncated = 0
21.46.985.370 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
21.46.986.891 I slot launch_slot_: id  0 | task 7771 | processing task, is_child = 0
21.56.559.755 I slot print_timing: id  0 | task 7771 | n_decoded =    100, tg =  11.31 t/s, tg_3s =  11.31 t/s
21.59.645.522 I slot print_timing: id  0 | task 7771 | n_decoded =    135, tg =  11.32 t/s, tg_3s =  11.34 t/s
22.02.652.862 I slot print_timing: id  0 | task 7771 | n_decoded =    169, tg =  11.32 t/s, tg_3s =  11.31 t/s
22.05.730.361 I slot print_timing: id  0 | task 7771 | n_decoded =    204, tg =  11.33 t/s, tg_3s =  11.37 t/s
22.08.740.169 I slot print_timing: id  0 | task 7771 | n_decoded =    238, tg =  11.32 t/s, tg_3s =  11.30 t/s
22.11.819.608 I slot print_timing: id  0 | task 7771 | n_decoded =    273, tg =  11.33 t/s, tg_3s =  11.37 t/s
22.14.901.909 I slot print_timing: id  0 | task 7771 | n_decoded =    308, tg =  11.33 t/s, tg_3s =  11.36 t/s
22.17.979.972 I slot print_timing: id  0 | task 7771 | n_decoded =    343, tg =  11.33 t/s, tg_3s =  11.37 t/s
22.21.005.638 I slot print_timing: id  0 | task 7771 | n_decoded =    377, tg =  11.33 t/s, tg_3s =  11.24 t/s
22.24.018.102 I slot print_timing: id  0 | task 7771 | n_decoded =    411, tg =  11.32 t/s, tg_3s =  11.29 t/s
22.27.044.314 I slot print_timing: id  0 | task 7771 | n_decoded =    445, tg =  11.32 t/s, tg_3s =  11.24 t/s
22.30.065.794 I slot print_timing: id  0 | task 7771 | n_decoded =    479, tg =  11.31 t/s, tg_3s =  11.25 t/s
22.33.079.496 I slot print_timing: id  0 | task 7771 | n_decoded =    513, tg =  11.31 t/s, tg_3s =  11.28 t/s
22.36.097.842 I slot print_timing: id  0 | task 7771 | n_decoded =    547, tg =  11.31 t/s, tg_3s =  11.26 t/s
22.39.104.102 I slot print_timing: id  0 | task 7771 | n_decoded =    581, tg =  11.31 t/s, tg_3s =  11.31 t/s
22.40.518.540 I slot print_timing: id  0 | task 7771 | prompt eval time =     731.85 ms /    16 tokens (   45.74 ms per token,    21.86 tokens per second)
22.40.518.545 I slot print_timing: id  0 | task 7771 |        eval time =   52799.76 ms /   597 tokens (   88.44 ms per token,    11.31 tokens per second)
22.40.518.547 I slot print_timing: id  0 | task 7771 |       total time =   53531.62 ms /   613 tokens
22.40.518.548 I slot print_timing: id  0 | task 7771 |    graphs reused =       8194
22.40.521.574 I slot      release: id  0 | task 7771 | stop processing: n_tokens = 93689, truncated = 0
22.42.496.416 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
22.42.497.990 I slot launch_slot_: id  0 | task 8370 | processing task, is_child = 0
22.52.064.370 I slot print_timing: id  0 | task 8370 | n_decoded =    100, tg =  11.32 t/s, tg_3s =  11.32 t/s
22.55.092.439 I slot print_timing: id  0 | task 8370 | n_decoded =    134, tg =  11.30 t/s, tg_3s =  11.23 t/s
22.58.125.661 I slot print_timing: id  0 | task 8370 | n_decoded =    168, tg =  11.28 t/s, tg_3s =  11.21 t/s
23.01.147.024 I slot print_timing: id  0 | task 8370 | n_decoded =    202, tg =  11.28 t/s, tg_3s =  11.25 t/s
23.04.176.074 I slot print_timing: id  0 | task 8370 | n_decoded =    236, tg =  11.27 t/s, tg_3s =  11.22 t/s
23.07.229.242 I slot print_timing: id  0 | task 8370 | n_decoded =    269, tg =  11.21 t/s, tg_3s =  10.81 t/s
23.10.280.973 I slot print_timing: id  0 | task 8370 | n_decoded =    303, tg =  11.20 t/s, tg_3s =  11.14 t/s
23.13.344.063 I slot print_timing: id  0 | task 8370 | n_decoded =    337, tg =  11.19 t/s, tg_3s =  11.10 t/s
23.16.414.991 I slot print_timing: id  0 | task 8370 | n_decoded =    371, tg =  11.18 t/s, tg_3s =  11.07 t/s
23.19.468.981 I slot print_timing: id  0 | task 8370 | n_decoded =    405, tg =  11.18 t/s, tg_3s =  11.13 t/s
23.22.534.867 I slot print_timing: id  0 | task 8370 | n_decoded =    439, tg =  11.17 t/s, tg_3s =  11.09 t/s
23.25.595.757 I slot print_timing: id  0 | task 8370 | n_decoded =    473, tg =  11.17 t/s, tg_3s =  11.11 t/s
23.28.659.064 I slot print_timing: id  0 | task 8370 | n_decoded =    507, tg =  11.16 t/s, tg_3s =  11.10 t/s
23.31.666.054 I slot print_timing: id  0 | task 8370 | n_decoded =    541, tg =  11.17 t/s, tg_3s =  11.31 t/s
23.34.674.494 I slot print_timing: id  0 | task 8370 | n_decoded =    575, tg =  11.18 t/s, tg_3s =  11.30 t/s
23.37.682.249 I slot print_timing: id  0 | task 8370 | n_decoded =    609, tg =  11.18 t/s, tg_3s =  11.30 t/s
23.40.738.625 I slot print_timing: id  0 | task 8370 | n_decoded =    643, tg =  11.18 t/s, tg_3s =  11.12 t/s
23.43.746.096 I slot print_timing: id  0 | task 8370 | n_decoded =    677, tg =  11.19 t/s, tg_3s =  11.31 t/s
23.46.747.243 I slot print_timing: id  0 | task 8370 | n_decoded =    711, tg =  11.19 t/s, tg_3s =  11.33 t/s
23.49.835.067 I slot print_timing: id  0 | task 8370 | n_decoded =    746, tg =  11.20 t/s, tg_3s =  11.33 t/s
23.52.870.577 I slot print_timing: id  0 | task 8370 | n_decoded =    780, tg =  11.20 t/s, tg_3s =  11.20 t/s
23.54.032.378 I slot print_timing: id  0 | task 8370 | prompt eval time =     734.03 ms /    16 tokens (   45.88 ms per token,    21.80 tokens per second)
23.54.032.382 I slot print_timing: id  0 | task 8370 |        eval time =   70800.32 ms /   793 tokens (   89.28 ms per token,    11.20 tokens per second)
23.54.032.384 I slot print_timing: id  0 | task 8370 |       total time =   71534.36 ms /   809 tokens
23.54.032.385 I slot print_timing: id  0 | task 8370 |    graphs reused =       8982
23.54.035.452 I slot      release: id  0 | task 8370 | stop processing: n_tokens = 94497, truncated = 0
23.55.864.272 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
23.55.865.693 I slot launch_slot_: id  0 | task 9165 | processing task, is_child = 0
24.05.566.898 I slot print_timing: id  0 | task 9165 | n_decoded =    100, tg =  11.14 t/s, tg_3s =  11.14 t/s
24.08.615.125 I slot print_timing: id  0 | task 9165 | n_decoded =    134, tg =  11.15 t/s, tg_3s =  11.15 t/s
24.11.660.147 I slot print_timing: id  0 | task 9165 | n_decoded =    168, tg =  11.15 t/s, tg_3s =  11.17 t/s
24.14.710.060 I slot print_timing: id  0 | task 9165 | n_decoded =    202, tg =  11.15 t/s, tg_3s =  11.15 t/s
24.17.733.613 I slot print_timing: id  0 | task 9165 | n_decoded =    234, tg =  11.07 t/s, tg_3s =  10.58 t/s
24.20.802.923 I slot print_timing: id  0 | task 9165 | n_decoded =    267, tg =  11.03 t/s, tg_3s =  10.75 t/s
24.23.883.600 I slot print_timing: id  0 | task 9165 | n_decoded =    300, tg =  10.99 t/s, tg_3s =  10.71 t/s
24.26.905.281 I slot print_timing: id  0 | task 9165 | n_decoded =    333, tg =  10.99 t/s, tg_3s =  10.92 t/s
24.29.963.452 I slot print_timing: id  0 | task 9165 | n_decoded =    367, tg =  11.00 t/s, tg_3s =  11.12 t/s
24.33.029.204 I slot print_timing: id  0 | task 9165 | n_decoded =    401, tg =  11.01 t/s, tg_3s =  11.09 t/s
24.36.083.368 I slot print_timing: id  0 | task 9165 | n_decoded =    435, tg =  11.02 t/s, tg_3s =  11.13 t/s
24.39.158.891 I slot print_timing: id  0 | task 9165 | n_decoded =    469, tg =  11.02 t/s, tg_3s =  11.06 t/s
24.42.220.449 I slot print_timing: id  0 | task 9165 | n_decoded =    503, tg =  11.02 t/s, tg_3s =  11.11 t/s
24.45.287.248 I slot print_timing: id  0 | task 9165 | n_decoded =    537, tg =  11.03 t/s, tg_3s =  11.09 t/s
24.48.347.196 I slot print_timing: id  0 | task 9165 | n_decoded =    571, tg =  11.03 t/s, tg_3s =  11.11 t/s
24.51.406.061 I slot print_timing: id  0 | task 9165 | n_decoded =    605, tg =  11.04 t/s, tg_3s =  11.12 t/s
24.54.471.742 I slot print_timing: id  0 | task 9165 | n_decoded =    639, tg =  11.04 t/s, tg_3s =  11.09 t/s
24.57.532.509 I slot print_timing: id  0 | task 9165 | n_decoded =    673, tg =  11.04 t/s, tg_3s =  11.11 t/s
25.00.535.214 I slot print_timing: id  0 | task 9165 | n_decoded =    705, tg =  11.03 t/s, tg_3s =  10.66 t/s
25.03.540.135 I slot print_timing: id  0 | task 9165 | n_decoded =    738, tg =  11.02 t/s, tg_3s =  10.98 t/s
25.06.625.613 I slot print_timing: id  0 | task 9165 | n_decoded =    772, tg =  11.02 t/s, tg_3s =  11.02 t/s
25.09.627.960 I slot print_timing: id  0 | task 9165 | n_decoded =    805, tg =  11.02 t/s, tg_3s =  10.99 t/s
25.12.634.676 I slot print_timing: id  0 | task 9165 | n_decoded =    838, tg =  11.02 t/s, tg_3s =  10.98 t/s
25.15.723.164 I slot print_timing: id  0 | task 9165 | n_decoded =    872, tg =  11.02 t/s, tg_3s =  11.01 t/s
25.18.809.220 I slot print_timing: id  0 | task 9165 | n_decoded =    906, tg =  11.02 t/s, tg_3s =  11.02 t/s
25.21.884.955 I slot print_timing: id  0 | task 9165 | n_decoded =    940, tg =  11.02 t/s, tg_3s =  11.05 t/s
25.24.971.911 I slot print_timing: id  0 | task 9165 | n_decoded =    974, tg =  11.02 t/s, tg_3s =  11.01 t/s
25.28.032.264 I slot print_timing: id  0 | task 9165 | n_decoded =   1008, tg =  11.02 t/s, tg_3s =  11.11 t/s
